age,income,credit_amount,employment_years,existing_loans,credit_card_usage,default
56,32952.264678517924,144447.00027965187,2.564927678726826,2,0.7010226500949179,0
69,59507.3122138402,117669.68987294784,5.101342988799296,2,0.6225683810552795,1
46,62649.08433284602,129982.18203625176,3.2055328317950242,4,0.5792499199404496,0
32,40516.4364979207,163584.83957612788,0.10729549998658675,0,0.5310196292654369,0
60,34564.5608521425,92501.68544145695,8.42035223971856,2,0.36753749886657383,0
25,82190.41331551946,44228.99982348969,0.6004297045312827,0,0.7687168666307302,1
38,54549.91751464107,165056.49260892865,3.1189445675098275,2,0.9220241650726186,1
56,62719.35501423476,73511.08739846408,4.336321917605078,1,0.4399891891984298,1
36,33558.47976344145,65483.09383280477,6.112484168171006,1,0.40908860594689456,0
40,25614.310669556126,10190.112233272434,2.644918570221333,2,0.1627275570844533,0
28,38611.00451015779,128564.15265821482,6.650486801467954,2,0.6707088053140171,0
28,47519.57225220006,18927.36877238893,0.7040754708561918,2,0.5580922633778134,1
41,28715.599863653024,62487.059615413156,5.298576624254646,0,0.987997996237808,0
53,49803.10382699234,129411.83972575294,8.75324869500669,2,0.584323166769958,1
57,16229.896238629997,136096.0626204186,11.011164266887079,2,0.2886108661948892,1
41,27599.051550602555,67414.79258908832,4.33234473758559,2,0.5629406617279221,1
20,63418.224965537505,93292.33365037973,1.8763422414262818,0,0.9846952327210784,0
39,62075.81040555788,56370.27367969234,0.8917861957576865,3,0.7233351800241498,1
19,42162.46469226267,72580.16060944086,2.119867326179662,1,0.12857730876994367,1
41,29644.71381846094,113310.76300764535,3.8823654025847194,2,0.3431626183319463,1
61,29451.92896947978,74917.66606017711,1.0928341026600328,6,0.2986849610525695,0
47,42534.63508117372,87789.24799121654,15.236697106267272,1,0.8568237789874162,0
55,62890.369832905824,26764.66591912166,11.371709996719392,1,0.6111628481612074,0
19,68564.91382688649,156647.80824030688,0.16756259299482068,2,0.8101019962326655,1
38,40069.36529036062,125503.3296585533,4.127245768784681,0,0.17624605343347766,1
50,26930.151480304325,139645.26859186008,7.786808391476473,1,0.90803490496635,1
29,55356.872757326666,164521.26623084312,1.4077840838488151,3,0.058310997095601946,0
39,33529.30058748301,58739.35622271418,3.7105972466708828,0,0.3748371871207484,0
61,39634.947222775954,82080.27584859882,2.6043114686769715,2,0.014149044286431933,1
42,76505.52180874076,5258.281620889451,1.0941783691475322,0,0.18427949410697408,0
66,66542.30857131536,257021.14550511187,4.769150287146339,0,0.9622258658374313,1
44,53159.48624502903,92520.73423413119,25.329822086557794,1,0.07849533139047571,0
59,24561.619977745544,151936.39499574562,2.272913804185172,3,0.14540657737161078,0
45,54227.93134941318,38091.94278322706,4.019042026089699,4,0.92484902624552,1
33,71253.14581575053,149819.42128215046,1.9864035712503698,0,0.7101745639395534,1
32,42487.32668468929,192879.5438324833,10.475766306347916,4,0.40696440864167316,0
64,77022.28179973431,96985.96254860093,9.997709313739243,2,0.06876581738833432,0
68,75854.90579036414,49455.925170519935,0.9847809403214737,0,0.7850389590792439,0
61,83274.65664286946,93060.17995272319,11.510369830111507,1,0.49272660547565583,0
69,56104.862530627055,1000.0,0.8214773038951029,1,0.32301686632399207,0
20,61747.833996120244,98105.6649489079,0.5015329836027862,3,0.36075042547508007,1
54,78283.7457666218,141048.3569656498,5.291210447061894,1,0.5052775379745039,0
